date,vicage,vicsex,vicethnic,susno,susage,sussex,weapon,Status,latitude,longitude,ladnm
5/27/2014,38,F,Asian or Asian British,1,41,M,Other,Solved,51.55408,-0.35222,Ealing North
5/29/2014,42,F,White or White British,2,49,M,Knife,Solved,51.5563,-0.24833,Brent Central
5/31/2014,18,M,Black or Black British,9,17,M,Knife,Solved,51.43107,-0.06657,Lewisham West and Penge
6/1/2014,20,F,White or White British,1,47,F,Knife,Unsolved,51.61086,-0.06716,Edmonton
6/8/2014,24,M,Black or Black British,3,17,M,Knife,Solved,51.55435,-0.10527,Islington South and Finsbury
6/15/2014,30,M,White or White British,3,22,M,None,Solved,51.49046,-0.12258,Vauxhall
6/19/2014,23,M,White or White British,1,40,M,Poison,Solved,51.53462,0.08003,East Ham
6/29/2014,23,M,White or White British,1,20,M,None,Solved,51.47218,0.18217,Bexleyheath and Crayford
6/29/2014,19,M,Black or Black British,3,18,M,Knife,Solved,51.54063,-0.24573,Brent Central
6/30/2014,67,M,White or White British,2,32,M,Knife,Solved,51.56214,-0.17639,Hampstead and Kilburn
7/3/2014,38,M,White or White British,5,20,M,Knife,Solved,51.5928,-0.2198,Hendon
7/3/2014,74,M,Any Other Ethnic Appearance,3,38,M,None,Unsolved,51.53134,-0.07578,Hackney South and Shoreditch
7/13/2014,22,M,Black or Black British,5,18,M,Knife,Solved,51.4179,0.00068,Lewisham East
7/25/2014,55,M,White or White British,1,52,M,Knife,Solved,51.56204,0.04597,East Ham
8/10/2014,26,M,White or White British,2,17,M,Knife,Solved,51.45403,0.02268,Eltham
8/13/2014,25,M,Black or Black British,3,24,M,Knife,Solved,51.44467,-0.19157,Tooting
8/18/2014,19,M,White or White British,2,19,M,Knife,Solved,51.54255,-0.05199,Hackney South and Shoreditch
8/20/2014,38,M,Asian or Asian British,3,33,M,Knife,Solved,51.37494,-0.0594,Croydon Central
