date,vicage,vicsex,vicethnic,susno,susage,sussex,weapon,Status,latitude,longitude,ladnm
2013-01-22,80,F,,1,69,M,Knife,Solved,51.60842,-0.17815,Barnet
2013-01-27,16,M,Any Other Ethnic Appearance,5,19,M,Knife,Solved,51.48793,-0.14008,Westminster
2013-01-29,36,M,White or White British,1,44,M,Knife,Solved,51.48348,0.06854,Greenwich
2013-02-04,44,M,White or White British,1,29,M,None,Solved,51.57242,0.18391,Havering
2013-02-06,79,F,White or White British,1,42,M,Knife,Solved,51.4428,-0.00616,Lewisham
2013-02-11,42,F,Any Other Ethnic Appearance,1,43,M,Knife,Solved,51.56453,-0.08403,Hackney
2013-02-16,19,M,Black or Black British,,,,Gun,Unsolved,51.55073,-0.05718,Hackney
2013-02-17,16,M,Black or Black British,4,21,M,Knife,Solved,51.45436,-0.19486,Wandsworth
2013-02-22,34,M,White or White British,2,36,M,Other,Solved,51.50489,-0.38324,Ealing
2013-03-02,3,M,Black or Black British,1,43,M,None,Solved,51.42368,-0.01,Lewisham
2013-09-03,77,F,White or White British,1,50,M,None,Solved,51.5801,0.22699,Havering
2013-03-04,24,M,Black or Black British,1,24,M,None,Solved,51.41551,-0.19172,Merton
2013-03-05,60,M,White or White British,1,32,F,Vehicle,Solved,51.40373,0.01643,Bromley
2013-03-08,63,M,White or White British,1,36,M,None,Solved,51.50967,-0.15115,Westminster
2013-03-10,20,M,Black or Black British,3,27,M,Knife,Solved,51.5846,-0.06695,Haringey
2013-03-11,3,M,Black or Black British,1,42,M,None,Solved,51.41694,-0.13878,Lambeth
2013-03-13,80,M,White or White British,1,43,M,None,Solved,51.52058,-0.14768,Westminster
2013-03-18,30,F,Black or Black British,1,36,M,Knife,Solved,51.53347,0.13708,Barking and Dagenham
2013-03-21,45,M,White or White British,1,35,M,None,Solved,51.55738,-0.11387,Islington
2013-04-01,19,M,Black or Black British,3,20,M,Gun,Solved,51.62825,-0.05091,Enfield
2013-04-12,4,F,Asian or Asian British,1,34,F,Poison,Solved,51.57539,-0.42261,Hillingdon
2013-04-12,9,F,Asian or Asian British,1,34,F,Poison,Solved,51.57539,-0.42261,Hillingdon
2013-04-14,23,M,Black or Black British,2,26,M,Gun,Unsolved,51.46693,-0.09831,Lambeth
2013-04-18,34,M,Any Other Ethnic Appearance,2,20,M,Gun,Solved,51.62892,-0.12764,Enfield
2013-04-24,16,M,Black or Black British,1,15,M,Knife,Solved,51.55012,-0.09522,Islington
2013-04-27,48,M,White or White British,1,52,M,Knife,Solved,51.45618,0.03403,Greenwich
2013-05-04,30,M,Black or Black British,3,29,M,Knife,Solved,51.56756,-0.05879,Hackney
2013-05-09,17,M,Black or Black British,2,19,M,Knife,Solved,51.54664,0.03468,Newham
2013-05-09,19,M,Black or Black British,,,,Gun,Unsolved,51.41043,-0.05269,Bromley
2013-05-14,28,M,Black or Black British,,,,Blunt Object,Unsolved,51.56818,-0.27007,Brent
2013-05-15,63,F,White or White British,1,63,M,None,Solved,51.522,-0.11774,Camden
2013-05-22,25,M,White or White British,2,22,M,Knife,Solved,51.48755,0.05894,Greenwich
2013-05-24,88,F,White or White British,1,17,M,None,Solved,51.51258,-0.05357,Tower Hamlets
2013-05-25,55,M,White or White British,1,21,M,Blunt Object,Solved,51.40155,-0.19201,Merton
2013-05-29,82,F,White or White British,1,22,M,Other,Solved,51.47816,-0.02601,Lewisham
2013-05-30,55,M,White or White British,1,29,M,None,Solved,51.64467,-0.04011,Enfield
2013-06-01,76,F,White or White British,1,55,M,Other,Solved,51.52801,0.026,Newham
2013-06-10,28,M,White or White British,1,44,M,Knife,Solved,51.38544,-0.26139,Kingston upon Thames
2013-06-10,35,M,White or White British,2,14,M,Other,Solved,51.36783,-0.10583,Croydon
2013-06-13,68,M,Asian or Asian British,1,27,M,None,Solved,51.53937,0.05864,Newham
2013-06-15,56,M,White or White British,1,51,M,Knife,Solved,51.50482,0.11829,Greenwich
2013-06-22,42,M,White or White British,1,42,M,Knife,Solved,51.5222,-0.07085,Tower Hamlets
2013-06-29,20,M,Black or Black British,2,19,M,Knife,Solved,51.53983,-0.12485,Camden
2013-07-01,40,F,White or White British,1,46,M,Knife,Solved,51.42877,-0.14253,Wandsworth
2013-07-04,50,M,Black or Black British,1,47,M,None,Solved,51.46557,-0.10306,Lambeth
2013-07-06,34,M,White or White British,1,30,M,None,Solved,51.53952,-0.10244,Islington
2013-07-07,37,F,Asian or Asian British,1,34,M,None,Solved,51.54432,0.02182,Newham
2013-07-10,35,F,Asian or Asian British,1,34,M,None,Solved,51.61742,-0.43943,Hillingdon
2013-07-12,47,M,Black or Black British,1,51,M,Knife,Solved,51.67016,-0.04206,Enfield
2013-07-14,51,M,White or White British,1,40,M,None,Solved,51.57898,-0.01158,Waltham Forest
2013-07-17,43,M,Asian or Asian British,,,,Poison,Solved,51.50284,-0.38346,Ealing
2013-07-19,24,F,White or White British,1,48,M,Other,Solved,51.49004,-0.09387,Southwark
2013-07-21,25,F,White or White British,1,29,M,Other,Solved,51.6033,-0.20674,Barnet
